Id,Name,Gender,Age,Birthdate,Address,Coord,Phone_number
4ee7d143-0785-4fac-b915-ced46f43e84b,류가연,Female,23,2001-09-04,전북특별자치도 영동군 유옥우길 10,Lat: 35.2283° Lng: 126.3596°,050-0457-1115
db3d4904-669d-4e61-bf81-424273ea7ad1,옥하나,Female,3,2022-06-11,부산광역시 영등포구 녹산로 29,Lat: 42.6528° Lng: 125.1416°,050-8729-2573
3a9c317b-d7a3-4e69-9063-f827ce8bd86f,염태린,Female,15,2010-01-10,제주특별자치도 부천시 원미구 상남남양길 65,Lat: 34.6121° Lng: 125.5317°,050-0811-2952
3750e49a-5c91-47ea-9cea-2c5701194df9,동시원,Male,28,1997-07-05,강원특별자치도 장성군 금품2로 13,Lat: 33.7895° Lng: 128.6088°,050-1895-4885
ee961426-9a05-44b3-931d-19554589b9b7,방정라,Female,37,1987-08-23,충청북도 경산시 하국길 215,Lat: 43.1993° Lng: 129.4570°,050-2321-3420
f61532ad-2bde-4bc7-8a46-7dbd5d186729,태지우,Female,27,1998-04-21,전라남도 충주시 소정1길 245,Lat: 41.3448° Lng: 126.0041°,050-5341-0189
71bc2886-99c0-4d52-a129-7c906e1b9cd3,장유진,Female,12,2012-11-10,경상남도 고령군 갈현로36길 43,Lat: 33.3608° Lng: 129.5011°,050-5788-6538
72341df2-60bc-4197-be25-717142fece07,문미진,Female,55,1970-05-05,제주특별자치도 옥천군 왕바위길 325,Lat: 35.0402° Lng: 129.9303°,050-8413-3130
f440aec4-804e-4a4b-bc23-496dd11212df,전시윤,Male,11,2013-10-05,제주특별자치도 화순군 갈전길 238,Lat: 40.1278° Lng: 125.3271°,050-7144-0693
daca4e9a-1821-4d09-8428-a0acea4034d7,위지영,Female,17,2007-10-24,충청북도 용인시 처인구 화서1로 208,Lat: 43.7990° Lng: 126.0488°,050-3251-7654
ece8fd52-75ff-436a-9c7a-6f7f4b82112b,연수민,Male,33,1992-01-14,대전광역시 금정구 신흥로11길 234,Lat: 38.2634° Lng: 127.7467°,050-3052-3335
b419ea3f-f543-4f3a-a5cc-e7e5bf3a8e4e,옹우빈,Male,4,2020-11-03,경상북도 의정부시 인동36길 89,Lat: 35.1876° Lng: 130.7057°,050-7696-1710
fa6d6f00-90a8-42c0-aa57-25b45cfd77d3,피진호,Male,60,1964-10-26,충청남도 영덕군 성황6길 255,Lat: 38.3010° Lng: 124.2497°,050-8208-6120
da9c7ab0-0f1a-4aad-bfc5-25b9a7d15bfb,진민영,Female,25,1999-08-10,세종특별자치시 남구 문형산길 294,Lat: 34.4483° Lng: 128.0912°,050-5417-2486
0a9ce2f2-db76-4ff4-86a3-20da9cef2d9e,변진균,Male,63,1962-02-26,전라남도 울주군 등화2길 141,Lat: 42.7819° Lng: 130.6884°,050-3379-2568
707ce70c-1ba3-4521-a795-ba8b386296a5,표상현,Male,18,2007-04-13,경상남도 함평군 신재생에너지로 347,Lat: 43.9000° Lng: 127.5201°,050-5338-2696
df7692de-e568-4ede-99c5-d376f0814ad3,장지현,Female,29,1996-04-03,경상남도 남양주시 실리섬길 105,Lat: 39.1825° Lng: 130.7099°,050-7109-4756
8bae52cd-f899-46bb-abf3-175d5a71b1bb,기지우,Female,21,2003-07-11,경기도 정읍시 천지1길 204,Lat: 34.1440° Lng: 128.1552°,050-1906-7250
ffa6fcf4-892d-4829-94ac-e80d45e26c5e,맹순영,Female,54,1971-07-02,전라남도 장수군 봉곡4길 264,Lat: 35.0008° Lng: 127.2107°,050-8289-0079
9f145e3e-7789-4df1-a463-75b6971035e3,빙명화,Female,57,1967-09-16,경기도 구례군 선도길 284,Lat: 40.2495° Lng: 126.6055°,050-2352-2603
cdb55760-08ed-4afe-b650-34f49acc2d61,판영자,Female,63,1962-06-23,대구광역시 도봉구 혁신로 302,Lat: 39.7126° Lng: 125.0236°,050-3653-6639
